SMControlTest.control.reset_state[3:0],SMControlTest.control.start,SMControlTest.control.mr3,SMControlTest.control.mr2,SMControlTest.control.mr1,SMControlTest.control.mr0,SMControlTest.control.s[3:0],SMControlTest.control.rsclear,SMControlTest.control.mdld,SMControlTest.control.mrld,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.clk,SMControlTest.control.n[3:0]
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1101
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
1100,-,-,-,-,-,100,0,0,0,0,1,0,1,1001
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,0,-,-,1101,0,0,0,0,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
100,-,-,1,-,-,1001,0,0,0,1,0,0,1,101
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1001,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1110
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
1101,-,-,-,-,-,101,0,0,0,0,1,0,1,1010
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,0,-,-,-,1110,0,0,0,0,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
101,-,1,-,-,-,1010,0,0,0,1,0,0,1,110
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1010,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
1110,-,-,-,-,-,110,0,0,0,0,1,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
110,-,-,-,-,-,0,0,0,0,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0,0,1,1
